,Url,Namn,Alt. namn,Byggår och arkitekt,Alternativt namn,Annexskolor,Adress,Arkiv på Stadsarkivet,Rektorsområde,Arkiv hos övriga,Historik
0,Visa/carlgrenska-waldorfgymnasiet/bf4aeb94-88b6-4224-b4bd-002dd8a79ed4,Carlgrenska Waldorfgymnasiet,,,,,"Skebokvarnsvägen 370
tidigare Tegeluddsvägen 29",,,,"Fristående gymnasieskola

Öppnad ht 2013. Upptas på nätsida över gymnasier 2014.
Skolan stängde sommaren 2020."
1,Visa/larsboda-ro--1960-1991/7bb2e5c7-e0aa-4754-8ae4-0031a8370772,Larsboda ro  1960-1991,,,,,,,,,"Huvudskola:
Larsbodaskolan 1960-1991"
2,Visa/elektrum/5240aebb-c129-4615-9474-006c5b4ee11a,Elektrum,Electrum,,,,Kistagången 14-18,,,,"Gymnasium

Annex till Vasa gymnasium 1987-1990, fristående enhet till Thorildsplans gymnasium 1990-1992. Nedlagt 1992."
3,Visa/slattgardsskolan/51e42e66-35c7-4a49-9355-00702528849e,Slättgårdsskolan,,,,,Frimurarvägen 11-17,,,,"Grundskola åk 1-9 (före ht 2005 1-6)

Egen enhet 1991. Tillhörde Skärholmens Sdn 1997-vt 2007.

Två paviljonger 1966.

Skolan brann ner till grunden 1/6 2020. Slättgårdsskolans elever inhystes ht 2020 på Vårbergsskolan, Solbergaskolan och Kämpetorpsskolan."
4,Visa/lovsatra-resursskola/de119201-dadb-4815-a834-00acf9f62cb2,Lövsätra resursskola,Skärholmens skoldaghem / Skärholmens resursskola,,,,"1971-2002 Falkholmsgränd 41 (tidigare Stångholmsbacken 91-95)
2002-2008 Lövsätragränd 42
2008-2009 Rusthållarvägen 5 (Bagarmossens skola)",,,,"Specialskola: Grundskola åk 1-6

Öppnad 1971 som Skärholmens skoldaghem i paviljonger vid Lillholmsskolan - se även denna.
From 2001 Skärholmen resursskola. Flytt och namnbyte ht 2002 till Lövsätra resursskola. Ht 2008 åter flytt och nedläggning efter vt 2009."
5,Visa/rektorsomraden-ro--overlarardistrikt-od--huvudskola--rektorsskola--annexskola/8ff70127-6f17-47e2-92e9-00f9b9543c06,Rektorsområden (Ro) / Överlärardistrikt (Öd) / Huvudskola / Rektorsskola / Annexskola,,,,,,,,,"Stockholms folkskolor indelades 1903 i Överlärardistrikt. 
En överlärare i ett distrikt var skolledare för sin skola med ev. underlydande skolor (annexskolor).
I gymnasierna benämndes i allmänhet skolledaren rektor.
1958, när Folkskoledirektionen ersattes av Skoldirektionen, blev överlärardistrikten ""omvandlade"" till rektorsområden och överlärarna vid folkskolorna blev rektorer, fortfarande med ansvar för egen skola (huvudskola, rektorsskola) och annexskolor.
Omkring 1990/1991 avskaffades rektorsområdena och varje skola blev i princip en ""självständig"" enhet med egen rektor.
Ett antal mindre skolor förblev dock ""underenheter"" till större skolor. Senare har återigen ett antal mindre skolor underställts större skolor."
6,Visa/brannkyrka-skoldistrikt/31522222-10fd-4581-a518-0101b767bba8,Brännkyrka skoldistrikt,,,,,,,,,"Brännkyrka församling inkorporerades med Stockholm 1913. 
Brännkyrka skoldistrikt -1913. 
Delades 1914 i 2 distrikt: Kyrkskoledistriktet (Kyrkoområdets folkskolor) och Liljeholmsdistriktet.
Uppdelning 1918 i 4 överlärardistrikt: Enskede öd (ro -1985), Älvsjö öd (fd Kyrkskoledistriktet, namnändrat 1952 till Långbrodals öd),
Liljeholmens öd (namnändrat 1936 till Midsommarkransens öd), Blommensbergs öd

1913 fanns följande skolor i Brännkyrka skoldistrikt:
Blommensbergs skola, Enskede skola, Gubbängens skola, Johannesdals skola (Mälarhöjden), Kyrkskolan, Liljeholmens skola, Långbrodals [gamla] skola, Skolan i Fridhems villastad (Forsbergska villan), Slöjdskolan (Solberga slöjdskola, Älvsjö slöjdskola), Solberga (gamla) skola, Sätra skola, Södertörns skola, Årsta skola, Örby skola.

Se även Kyrkskolan i Älvsjö !

Skolor i Brännkyrka skoldistrikts arkiv (med arkivtid):
Anneboda skola 1875, Charlottenburgs småskola = Reymersholms småskola, Blommensbergs folkskola 1887-1912, Blommensbergs småskola 1894-1912, Brännkyrka folkskola 1845-1912, Brännkyrka slöjdskola 1909-1912, Brännkyrka småskola 1877-1912, Brännkyrka sockenskola 1829-1843, Brännkyrka söndagsskola 1840-1871, Enskede folkskola 1865-1912, Enskede slöjdskola 1908-1912, Enskede småskola 1875-1912, 
Fågelsångens skola 1898-1912, Gubbängens folkskola 1880-1912, Gubbängens slöjdskola 1909-1912, Gubbängens småskola 1890-1912, Johannesbergs folkskola 1850-1870, Johannisdals folkskola 1905-1912, Johannisdals småskola 1905-1918, Karlslugns småskola 1901-1912, Lerkrogens småskola 1874, Liljeholmens folkskola 1876-1912, Liljeholmens slöjdskola 1903-1912, Liljeholmens småskola 1881-1912, Långbrodals folkskola 1904-1912, Reymersholms folkskola 1896-1912, Reymersholms småskola (Charlottenburgs småskola) 1890-1912, 
Skarpnäcks folkskola 1876-1913, 
Sköndals och Lilla Sköndals folkskola 1850-1874, 
Skönstaviks folkskola 1875-1885, Slättens folkskola 1870-1884, Solberga småskola 1908-1912, Stora Gungans folkskola 1908-1912, Stortorps folkskola 1850-1870, Sätra folkskola 1886-1912, 
Södertörns villastads folkskola 1905-1912, 
Södertörns villastads slöjdskola 1909-1912, 
Södertörns villastads småskola 1904-1912, Årsta folkskola 1903-1913, Årsta slöjdskola 1905-1912, Årsta småskola 1869, 1905-1912, 
Örby folkskola 1899-1912, Örby fortsättningsskola 1899-1912, 
Örby slöjdskola 1889-1913, Örby småskola 1901-1912, 
Örnsbergs folkskola 1886-1893."
7,Visa/tantoskolan/8aba544f-7f8c-4c08-98ca-013d1df9214b,Tantoskolan,,,,,Flintbacken 32,,,,"Grundskola åk 1-3

Hyrda lokaler i hyreshus, nedlagd 1983.

Enligt en uppgift övertogs lokalerna av The Tanto International School men adresserna är olika (samma gata men olika nummer)."
8,Visa/midsommarkransens-odro--1918-1936-1962/cf6f58af-d076-48d5-84a9-013e987c3cde,Midsommarkransens öd/ro  (1918-)1936-1962,Liljeholmens öd,,,,,,,,"före 1918 - se Brännkyrka skoldistrikt !

1918-1936 benämnt Liljeholmens öd, (namnändring till) Midsommarkransens öd/ro 1936-1962

Huvudskola: Midsommarkransens skola"
9,Visa/stadens-allmanna-barnskola/44645a06-9851-42d3-a007-01ca016e1dde,Stadens allmänna barnskola,Allmänna barnskolan i Staden mellan broarna / Finemanska Lancasterskolan / Finemanska skolan,,,,,,,,"Öppnade 1821 som Stadens allmänna barnskola (Allmänna barnskolan i Staden mellan broarna) på Munkbrogatan 12 under Carl Olof Finemans (1793-1863) ledning. Även kallad Finemanska Lancasterskolan. Upphörde 1859. Se även under Allmänna barnskolor.
Löd under Kungl. Direktionen över Stockholms stads undervisningsverk 1821-1859.
Togs i anspråk hösten 1834 som provisoriskt kolerasjukhus.

Litteratur:
Allmän historik i arkivföretckningen för Södermalms allmänna barnskola (SSA/0312).
Flodmark, Johan: Finemanska Lancasterskolan. S:t Eriks årsbok 1903."
10,Visa/hasselby-gymnasium/102eb5f8-bece-4caa-bd81-027d8ff8ff56,Hässelby gymnasium,,,,,Aprikosgatan 72-74,,,,"Gymnasium

I byggnaden tidigare grundskola, nedlagd 1993 - se vidare Hässelbystrandsskolan.

From ht 1995 gymnasium i lokalerna, annexskola till S:t Jacobi gymnasium from 1998 - se vidare d:o. 
Vt 2002 (vissa uppgifter anger ht 2001) självständig enhet - 
Hässelby gymnasium. Nedlagt efter vt 2010."
11,Visa/jaringeskolan/35c5f2b8-bb9b-4011-8f9d-0311d8e53a2b,Järingeskolan,,,,,Järingegränd 4,,,,"Grundskola åk 1-6, Vuxengymnasium

Öppnad 1977. Egen enhet 1991-1993. Nedlagd 1993. 
Järinge skoldaghem i lokalerna 1994-2003.
Dessutom vuxengymnasium i lokalerna (huvudskola för Västerorts vuxengymnasium) 1992-2004.
From 2000 även SFI-skola i lokalerna.

Hela skolan var en paviljongskola. Riven 2005."
12,Visa/hantverksskola/88ed3d0d-383f-4227-8455-03908691e0cb,Hantverksskola,,,,,,,,,"Skolform

Skola för att ge undervisning till hantverkslärlingar och gesäller med bristande utbildning.
Skolämnen: innantilläsning, välskrivning, räkning, bokföring, biblisk historia samt i viss mån geografi och historia.

Den första hantverksskolan öppnades 1806 i Storkyrkoförsamlingen.
Under åren tom 1828 tillkom hantverksskolor i samtliga territoriella församlingar utom Kungsholm.
I årsberättelsen 1868 upptas Klara hantverksskola och Ladigårdslands hantverksskola."
13,Visa/jakob-och-johannes-forsamlings-od--1903-1940/cf3da784-4039-47b9-b8a6-039a87b4d215,Jakob och Johannes församlings öd  1903-1940,,,,,,,,,"Huvudskola:
??"
14,Visa/frimurarebarnhusets-skola/dc77b715-845b-4bfd-a268-03a482e04c59,Frimurarebarnhusets skola,,,,,,,,,"Privatskola

Frimurarebarnhusets skola grundad 1753 låg i Kristineberg 1867-1930 (tidigare på Malmtorgsgatan på Norrmalm).
Södra huset byggdes om till flickavdelning 1907. Från början 1900-talet undervisades de yngre barnen i barnhusets egen skola medan de äldre (from 4:e klass) gick i Kungsholmens folkskola. Staden inköpte området 1925, Kristinebergs folkskola öppnades 1930 och inhystes i barnhemmets baracker. Frimurarebarnhuset hade nu anlagt en ny inrättning med skola som öppnades 1930 vid Mälaren i Blackeberg och lades ned 1939. Enligt uppgift gick barnhusbarnen först i Bromma kyrkskola och sedan i Norra Ängby skola. (En uppgift 1938 anger skolan som ""Ängby"")."
15,Visa/sjostedtska-klassen/4789161a-d7ea-4037-b4ca-03c4130fd7a3,Sjöstedtska klassen,,,,,,,,,se Kungsholms lägre elementarläroverk samt Kungsholms församlings folkskolor !
16,Visa/thea-privata-grundskola---bromma/09e61908-bf8a-4897-a711-03c7275f7967,Thea privata grundskola - Bromma,Klara privata grundskola - Kungsholmen; Thea privata grundskola Bromma; Thea privata grundskola Kungsholmen,,,,"Sysslomansgatan 18
2017-  Voltavägen 8-10",,,,"Fristående grundskola åk 6-9, åk 1-9 2017?

Huvudman, Theducation AB.

Upptas i katalog 2011.
På samma adress i lista 2017 upptas istället Thea privata grundskola - Kungsholmen; nytt namn.
Ny adress ht 2017 enligt hemsida: Voltavägen 8-10 i Bromma; då som Thea privata grundskola - Kungsholmen/Bromma."
17,Visa/norra-angby-skola/cdd7d082-bfcf-4f7a-aed1-03d04e562c36,Norra Ängby skola,Ängbyskolan / Ängby folkskola,,,,Vultejusgatan 20,,,,"Folkskola. Grundskola åk 1-6

Huvudskola i Ängby öd 1940-1951 och i Norra Ängby öd/ro 1951-1974. Egen enhet 1991. Tillhörde Bromma Sdn 1997-vt 2007.
Tidigare kallad Ängbyskolan. Namnändring till Norra Ängby skola 19??."
18,Visa/hagskolan/85bab633-904d-4b2f-b6ba-03ffe1cc243b,Hagskolan,,,,,Hagsätravägen 105-121,,,,"Folkskola, Grundskola åk 1-6

Fyra paviljonger 1959, tre paviljonger 1961.
Nedlagd 1976. Riven och på området nu en barnstuga."
19,Visa/internationella-hotell--och-restaurangskolan-/143a6177-b006-4ea4-a44d-0406357d3aab,Internationella Hotell- och Restaurangskolan,Stockholms internationella restaurangskola,,,,"2009-2012  Polhemsgatan 29
2012-2018  Sysslomansgatan 18
2018- Warfvinges väg 24",,,,"Fristående gymnasium.
Startade 2007 på Kungsholmen.

Upptas i katalog 2009."
