,Url,Alt. namn,Adress,Namn
0,Visa/carlgrenska-waldorfgymnasiet/bf4aeb94-88b6-4224-b4bd-002dd8a79ed4,,"Skebokvarnsvägen 370
tidigare Tegeluddsvägen 29",Carlgrenska Waldorfgymnasiet
1,Visa/larsboda-ro--1960-1991/7bb2e5c7-e0aa-4754-8ae4-0031a8370772,,,Larsboda ro  1960-1991
2,Visa/elektrum/5240aebb-c129-4615-9474-006c5b4ee11a,Electrum,Kistagången 14-18,Elektrum
3,Visa/slattgardsskolan/51e42e66-35c7-4a49-9355-00702528849e,,Frimurarvägen 11-17,Slättgårdsskolan
4,Visa/lovsatra-resursskola/de119201-dadb-4815-a834-00acf9f62cb2,Skärholmens skoldaghem / Skärholmens resursskola,"1971-2002 Falkholmsgränd 41 (tidigare Stångholmsbacken 91-95)
2002-2008 Lövsätragränd 42
2008-2009 Rusthållarvägen 5 (Bagarmossens skola)",Lövsätra resursskola
5,Visa/rektorsomraden-ro--overlarardistrikt-od--huvudskola--rektorsskola--annexskola/8ff70127-6f17-47e2-92e9-00f9b9543c06,,,Rektorsområden (Ro) / Överlärardistrikt (Öd) / Huvudskola / Rektorsskola / Annexskola
6,Visa/brannkyrka-skoldistrikt/31522222-10fd-4581-a518-0101b767bba8,,,Brännkyrka skoldistrikt
7,Visa/tantoskolan/8aba544f-7f8c-4c08-98ca-013d1df9214b,,Flintbacken 32,Tantoskolan
8,Visa/midsommarkransens-odro--1918-1936-1962/cf6f58af-d076-48d5-84a9-013e987c3cde,Liljeholmens öd,,Midsommarkransens öd/ro  (1918-)1936-1962
9,Visa/stadens-allmanna-barnskola/44645a06-9851-42d3-a007-01ca016e1dde,Allmänna barnskolan i Staden mellan broarna / Finemanska Lancasterskolan / Finemanska skolan,,Stadens allmänna barnskola
10,Visa/hasselby-gymnasium/102eb5f8-bece-4caa-bd81-027d8ff8ff56,,Aprikosgatan 72-74,Hässelby gymnasium
11,Visa/jaringeskolan/35c5f2b8-bb9b-4011-8f9d-0311d8e53a2b,,Järingegränd 4,Järingeskolan
12,Visa/hantverksskola/88ed3d0d-383f-4227-8455-03908691e0cb,,,Hantverksskola
13,Visa/jakob-och-johannes-forsamlings-od--1903-1940/cf3da784-4039-47b9-b8a6-039a87b4d215,,,Jakob och Johannes församlings öd  1903-1940
