caption.sv,uuid
Fotografregistret (Sverige) (Nordiska museet),1f368832-7649-4386-97b6-ae40cce8752b
"Abel, Margareta Regina Clary Amalia (1896 - )",d089f02c-0730-406b-91bb-785f9522abbe
"Abersten, Rolf (1909 - 1951)",6cebe6f1-923a-470b-9339-335dfe653a6a
"Abrahamsson, Eva (1876? - 1931?)",a7b75876-9951-4fd0-9776-12680d411a41
"Adamson, Ester (1882 - 1947)",3fad29be-5111-4f95-9229-e241e7623d4b
"Adelborg, Bror Jacob (1816 - 1865)",e2d1ef4e-a9e6-4bbd-9579-95485b041322
"Adelsköld, Carl (1830 - 1914)",d0dc6b41-5027-4552-a5c9-6b334bf5c9f5
"Adelsköld, Klas Anders (1880 - 1940)",e8ed2b77-177a-43d6-a333-5c9ce8e22acd
"Adelson, Mauritz Wolff (1879 - 1940)",83f44dde-d4ce-4fe9-b73b-1c2a64064809
"Adler, Martin (1958 - 2006)",aec8cc03-1d24-4f0a-929d-96f29d29609a
"Adolfi, Sten David Holger (1907 - 1984)",3c597e25-936a-4f53-b168-17fa68e0eb00
"Adolfsson, Erik (1901 - 1985)",67485f43-6911-4b1d-bc8e-5b912f675498
"Agerbundsen, Emil Christian (1846 - 1920)",e4f9a2ed-cd78-4070-8832-6b2ed95e8336
"Agnér Anderson, Ernst Gottfrid (1883 - 1944)",7921de33-8732-4e07-84b4-3d7bc13653a6
"Agnér, Märta Bernardina (1883 - 1961)",fe5dabb7-99d9-4049-82a0-46ccd040bf43
"Ahl, Nils Alfred (1855 - 1926)",233e49a4-af8a-40aa-8e9a-d8b65cb4e5b6
"Ahlberg, Claes (1875 - 1946)",4ec45136-6f06-4bfd-afe6-366fbd786c59
"Ahlberg, Frans Artur Eugen (1892 - 1972)",3c3dfc20-ee19-4d48-80cc-e915307c7606
"Ahlberg, Maria",32dafcfe-6a56-423f-b011-b02ff3298668
"Ahlberg, Per Johan Valdemar (1887 - 1981)",3766f6ea-2d16-4244-80ad-c74467ab06a2
"Ahlberg, Ulla (1824 - 1903)",4df3fd1a-4753-48cc-bd25-1f9a83b0cc3c
