caption.sv,uuid
Fotograffirmor (Sverige) (Nordiska museet),deb494a0-5457-4e5f-ae9b-e1826e0de681
A. & F. Lindahl (Fotograffirma),a9ebfd4e-1817-4606-9b65-b7e4de21f9c6
A. Apelgren (Fotograffirma),792acbfb-c0d0-49e4-b0eb-b53159de83aa
A. Jensén & Co (Fotograffirma),fcc24169-ffa2-4974-bc3f-7950197be64e
A. Jensen & Son (Fotograffirma),5a2c4565-5ccc-4f15-9f7f-cd273d890497
A. Lindes Atelier (Fotograffirma),860543ef-39d2-46c0-afe9-577bbf668a7f
A.K. Hazelius och C.G. Nyblaeus fotografiska atelier,6d3ea9a7-a4cc-4cd7-9315-2da0b1daec23
A.V. Malmström (Fotograffirma),5a9a41e8-6df5-4037-ae6d-a2186fe93687
AB Flygtrafik (Fotograffirma),19f70798-e31c-45e4-99d7-b20c8e075efb
AD. Lidwalls Fotografi-Atelier (Fotograffirma),aa46aadf-8ce4-4528-a1db-a44d07cacc96
Adéle Kindlund & Co (Fotograffirma),e0e17ce2-d278-4e54-83a1-cf4f6d4071f2
Ahlbom & Hassell (Fotograffirma),eba13857-4f13-4f40-be0b-5d912a412540
Aktiebolaget Atelier Wretmark (Fotograffirma),a18b7554-e829-439b-ae5b-5d175a95cb11
Alb. Edström (Fotograffirma),75f8a33b-c1fd-40c0-9aa2-003a8e8c005d
"Albin Andersson,inneh. Pontus Andersson (Fotograffirma)",cbeb8d56-c9ea-4652-ab18-92f4d5d2070b
Albin Berns Reseatelier (Fotograffirma),b67c3e8d-2ba1-49e3-9055-a09d8058912d
Alexis Brandt (Fotograffirma),07d53441-2cf5-4ff5-9fa8-808ec2f582dd
Alexis Brandt & Co (Fotograffirma),56bac8d1-70c9-43a3-a34d-01c3663858d1
Alf Lindhes Eftr. (Fotograffirma),b0975cb2-d719-48a4-ac4c-aaa3d973c808
Alfons Foto (Fotograffirma),679673fa-62f4-4e64-be1f-cad3bc9e192e
Alfred Dahlgren (Fotograffirma),015006a9-e86f-4872-9be1-bdff4b6e6bc2
Alfred J:son Dahllöf (Fotograffirma),bd971cd2-34b5-45db-930f-cd3d4b2207ac
Alfred Wahller (Fotograffirma),33d8f610-d180-4ac7-9f9c-2012f003e714
Almberg & Preinitz (Fotograffirma),23739cf1-d83b-4e00-8ce7-a83d71a6af22
Amedé (Fotograffirma),61a3d463-f5e3-4d0c-82d1-27ea4af2352c
Amedé & Co (Fotograffirma),347c75ac-d5bc-4cda-9c59-0da9260df568
American Atelier (Fotograffirma),03a3277b-6c5c-4934-849b-b4f09162db9c
American Foto (Fotograffirma),079570fa-1b01-4720-927e-354b8f4a00de
American Photo Ateliér (Fotograffirma),e80964fb-2913-429d-95e5-802de9b7e51a
American-Photo (Fotograffirma),810b7de8-f49c-4c76-b12a-5d16139c6267
Amerikanska Ateliern (Fotograffirma),57be4052-10ea-4770-ad17-fddcf1a35cf1
Amerikanska Fotoatelieren (Fotograffirma),c179e0ce-482e-44d0-8ebf-ea5824d8619c
Anderson & Blomberg (Fotograffirma),95eef854-0eef-4f72-8c35-f9e73eb8a754
Andersson & Blomberg (Fotograffirma),d610168a-7607-462e-9421-b478bcffd90c
"Andersson, A & Co (Fotograffirma)",68d691eb-4326-43ef-9b42-ba62f7d75ab4
Andréns Eftr. (Fotograffirma),d3dd3ee2-d70b-4d9b-9cbc-32319295b038
Andriette Hedbergs Eftr. (Fotograffirma),bc188493-d9c2-4fc4-be39-456a4b664609
Anette Haags Eftr. (Fotograffirma),73a02a43-d67a-4564-b49b-b85da4a051e1
Ann Bülunds Eftr. (Fotograffirma),75cd02d6-1165-4121-a40c-388b407fd03f
Anna Frankel (Fotograffirma),bc1893c3-0b65-418e-92f7-b9790eb8ed63
Anna Hedströmn & Co (Fotograffirma),2901f622-4f10-4b8a-9d0c-828b52c8e331
Anna Kruse & Co (Fotograffirma),1346c4b1-1584-4304-9483-32b1096ed9af
Anton & Co (Fotograffirma),23bcb3ed-5ef2-432c-b7ec-4660ae114d9c
Anton Hagman & Co (Fotograffirma),dbb2e287-df22-45a8-957d-1a5f4b32a659
Apollo Atelier (Fotograffirma),2fed33ce-a480-47b1-900f-93c9a9977fea
Apollo Porträtt & Förtsoringsateljé (Fotograffirma),139cb626-f4d5-460d-943c-7dc6c70923f2
Appelqvist Atelier (Fotograffirma),b75e562e-1bcd-424f-8199-2d3e4d4d1cdc
Arpman Eftr. (Fotograffirma),bcafc2da-a9c5-424c-b932-981e894925c1
Arvida Ljungkvist (Fotograffirma),30e326ea-9f16-4358-bdfe-ce5da4867d89
Arvida Ljungkvist & Co (Fotograffirma),3d6bfee4-a3b0-4c06-9c82-1eda9584bde8
Aspáns Fotografiska Etablissement (Fotograffirma),b8ff7099-f29a-4ddf-9ae2-2500e8b9483e
Atelier 48 C (Fotograffirma),0e057599-7230-4aa1-bd1e-a95ef74157a1
Atelier Andersson (Fotograffirma),5a47057a-6c58-40d7-bbac-096bca5fd4b2
Atelier Bristol (Fotograffirma),190faa73-13f7-416c-9ad9-b9c676455bd5
Atelier Bruzelius (Fotograffirma),a36dacdc-76d9-484b-a299-a580c0c4528a
Atelier Byqvist (Fotograffirma),dfba8f86-a3dc-40d9-a61c-303c669ab194
Atelier Dagmar Eriksén (Fotograffirma),33139aa6-1988-43c7-b287-e43006a3bbcc
Atelier Dahlgren Eftr. (Fotograffirma),3e198bf7-dfdc-4a6f-945f-cfc2d066fc57
Atelier Dahllöf (Fotograffirma),af614823-c6cd-4161-93ce-f159caa70247
Atelier Dawidson (Fotograffirma),1b5edc30-e99b-45f8-a987-3b6928ebb0cc
Atelier Dischler (Fotograffirma),cfec6584-2ec0-4ac1-b8fb-3ece0dd0010e
Atelier Edström (Fotograffirma),8b22d046-e463-4257-9664-5039d5334563
Atelier Ekegren (Fotograffirma),4a254310-3442-4b9f-931c-e9c08cebd718
Atelier Ekstrand (Fotograffirma),c6d9311d-394c-4f75-8878-0f8b272240a2
Atelier Elektra (Fotograffirma),d760a541-391f-4d5a-b4d0-357f00fd055c
"Atelier Fenix, Ludv. Ericson (Fotograffirma)",0d4ba623-e502-49e3-b301-efdb1c05dee1
Atelier Florman (Fotograffirma),53db8da9-0596-423d-bfdc-c6c0bf25f415
Atelier Föjer (Fotograffirma),2cfda46d-c788-47be-bb58-cd18aa5e4e71
Atelier Gifer (Fotograffirma),78029434-113d-40de-9f43-b48ae815a5e4
Atelier Granbom (Fotograffirma),89e13bb5-2b74-4531-910a-cf70229a2ee6
Atelier Grape (Fotograffirma),5f0edc19-2344-400c-a11a-3232b8f187d9
Atelier Gustin (Fotograffirma),28a892bb-6bcb-43ca-aef6-4aeb91e8c772
Atelier Hagman (Fotograffirma),5dd6c737-0316-4f86-8f2f-866966a9f9b5
Atelier Hedblom (Fotograffirma),62aad112-7282-436e-86e8-f3492f600501
Atelier Hedström (Fotograffirma),e69443bb-8e4c-4a2f-a1cf-17202db187d2
Atelier Jaeger (Fotograffirma),4373131e-90f7-414c-a61f-e6da9cafb8ec
Atelier Jansson (Fotograffirma),9b21706d-4cbb-42ac-9d9e-d26f68cd047e
Atelier Johnsson (Fotograffirma),372eae79-32a1-451d-a99c-89ff739ec16b
Atelier Jonn (Fotograffirma),0075db87-16c6-4d4a-92bc-35846a1b6305
"Atelier Jonn, R. Küller (Fotograffirma)",89509251-830a-4f6b-b534-d6dbbb45cac5
Atelier Kaudern (Fotograffirma),086632f3-6515-4489-af5f-1603a26fd1cd
Atelier Kinnell (Fotograffirma),d3f5db07-10db-4974-ba80-b482c8f52dd2
Atelier Kjellander (Fotograffirma),1cee2e8a-90b7-4f8d-9492-026fdc18c3ed
Atelier Larsson (Fotograffirma),801b9594-542e-4446-8ca3-ff049b97459d
